Time,PV_6 (kW),PV_10 (kW),PV_4 (kW),PV_9 (kW),PV_680 (kW),PV_14 (kW)
07:05,97.72423152482024,46.57518034036072,151.4435744041395,107.10685033116846,0.0,41.88181350406579
07:10,102.09002013938122,53.81844750103139,156.10101607764273,118.75731393781349,0.0,43.75286577217798
07:15,106.45580875394221,61.061714661702055,160.75845775114593,130.4077775444585,0.0,45.62391804029015
07:20,118.02913337232303,68.85726143596618,166.04980749315686,138.68935103356895,0.0,50.58391429991042
07:25,129.60245799070384,76.65280821023029,171.34115723516774,146.9709245226794,0.0,55.54391055953069
07:30,141.17578260908465,84.4483549844944,176.63250697717868,155.25249801178987,0.0,60.503906819150956
07:35,146.99792579123138,92.65450964270097,184.812865433405,155.02295437989855,0.0,62.99911103982582
07:40,152.82006897337808,100.86066430090754,192.99322388963137,154.79341074800726,0.0,65.49431526050067
07:45,158.64221215552482,109.06681895911413,201.17358234585768,154.56386711611597,0.0,67.98951948117553
07:50,166.5342566146979,118.44236564771967,212.91405510140052,168.02142408317943,0.0,71.37182425642935
07:55,174.42630107387097,127.81791233632522,224.65452785694333,181.47898105024288,0.0,74.75412903168315
08:00,182.31834553304407,137.19345902493077,236.39500061248617,194.93653801730633,0.0,78.13643380693698
08:05,187.7496529608676,146.31807868420475,245.82767612520703,202.2571789093737,0.0,80.46413698514847
08:10,193.18096038869112,155.44269834347872,255.26035163792795,209.57781980144102,0.0,82.79184016335995
08:15,198.61226781651462,164.56731800275273,264.69302715064885,216.89846069350838,0.0,85.11954334157144
08:20,198.07623325290876,174.1469680802568,282.95546823607674,214.50850659338855,0.0,84.88981424781852
08:25,197.5401986893029,183.7266181577609,301.2179093215047,212.11855249326874,0.0,84.66008515406563
08:30,197.00416412569703,193.30626823526498,319.48035040693264,209.7285983931489,0.0,84.4303560603127
08:35,207.16698639706254,201.59046237613472,314.56097605869013,219.20402372556103,0.0,88.78585131904141
08:40,217.3298086684281,209.8746565170045,309.6416017104476,228.67944905797316,0.0,93.14134657777012
08:45,227.4926309397936,218.15885065787427,304.7222273622051,238.1548743903853,0.0,97.49684183649883
08:50,234.80278860905887,225.72748257992535,325.5900459208452,245.61166621584047,0.0,100.62976654667764
08:55,242.1129462783241,233.29611450197643,346.4578644794854,253.06845804129563,0.0,103.76269125685648
09:00,249.42310394758937,240.86474642402752,367.3256830381256,260.5252498667508,0.0,106.8956159670353
09:05,254.8718789022035,247.94713208561836,357.10410967694565,256.65563963452865,0.0,109.23080523798181
09:10,260.32065385681767,255.02951774720913,346.8825363157658,252.78602940230658,0.0,111.56599450892831
09:15,265.7694288114318,262.11190340879995,336.6609629545858,248.91641917008445,0.0,113.90118377987481
09:20,265.86222504034254,268.12454751168667,341.518341387593,266.35723291357635,0.0,113.94095359226124
09:25,265.9550212692534,274.1371916145734,346.37571982060024,283.79804665706826,0.0,113.98072340464769
09:30,266.04781749816414,280.1498357174601,351.2330982536074,301.23886040056016,0.0,114.02049321703412
09:35,265.4833981605371,286.22491147959437,363.6787743516992,296.8629039962299,0.0,113.77859921521768
09:40,264.91897882290993,292.2999872417286,376.12445044979097,292.48694759189965,0.0,113.53670521340126
09:45,264.35455948528283,298.3750630038629,388.5701265478827,288.11099118756937,0.0,113.29481121158483
09:50,273.6669318254418,303.1967041251381,389.800745119483,289.7661806372816,0.0,117.28582792349096
09:55,282.9793041656008,308.01834524641333,391.03136369108324,291.42137008699393,0.0,121.27684463539705
10:00,292.29167650575977,312.83998636768854,392.26198226268355,293.07655953670616,0.0,125.26786134730318
10:05,289.06782710264696,317.73006218146037,417.2199799965466,290.74511660153,0.0,123.88621160816045
10:10,285.84397769953404,322.62013799523214,442.1779777304098,288.41367366635393,0.0,122.50456186901772
10:15,282.6201282964212,327.51021380900403,467.13597546427286,286.0822307311778,0.0,121.12291212987499
10:20,293.6497762838663,329.4191802731593,468.1418588940011,290.3726708902195,0.0,125.84990411911711
10:25,304.6794242713113,331.3281467373146,469.14774232372935,294.66311104926126,0.0,130.57689610835922
10:30,315.70907225875635,333.23711320147,470.15362575345756,298.953551208303,0.0,135.30388809760134
10:35,325.06620510049424,334.73427113091066,461.1719702901361,312.2704563972236,0.0,139.31408789143632
10:40,334.4233379422322,336.23142906035145,452.1903148268145,325.5873615861442,0.0,143.3242876852713
10:45,343.78047078397003,337.7285869897921,443.2086593634929,338.90426677506485,0.0,147.33448747910623
10:50,329.9407352694836,339.1657145867423,461.971717311878,329.39058423565194,0.0,141.40317225428208
10:55,316.1009997549972,340.6028421836926,480.7347752602632,319.87690169623903,0.0,135.47185702945794
11:00,302.26126424051074,342.03996978064276,499.4978332086483,310.3632191568261,0.0,129.5405418046338
11:05,318.1741761603405,342.0315655467005,482.8519351349349,318.0596814690892,0.0,136.36036120308918
11:10,334.08708808017025,342.0231613127582,466.2060370612215,325.7561437813523,0.0,143.1801806015446
11:15,350.0,342.01475707881593,449.56013898750814,333.45260609361543,0.0,150.0
11:20,342.11013900746764,341.7398178660626,442.51895514214965,330.1928617641428,0.0,146.61863100353264
11:25,334.2202780149353,341.4648786533093,435.4777712967911,326.93311743467007,0.0,143.2372620070653
11:30,326.3304170224029,341.18993944055603,428.4365874514326,323.67337310519736,0.0,139.85589301059795
11:35,326.0662207513388,342.0003498116245,451.4448143224442,332.44891540346487,0.0,139.7426660372959
11:40,325.80202448027467,342.8107601826931,474.45304119345576,341.22445770173243,0.0,139.62943906399386
11:45,325.53782820921055,343.6211705537616,497.46126806446733,350.0,0.0,139.51621209069177
11:50,327.27584660904023,343.6992099859993,498.3075120429782,335.390224123243,0.0,140.261077119117
11:55,329.01386500886986,343.7772494182369,499.1537560214891,320.780448246486,0.0,141.00594214754224
12:00,330.75188340869954,343.85528885047455,500.0,306.17067236972906,0.0,141.75080717596748
